Ticker,Qty
APOLLO.NS,10.0
ASHOKLEY.NS,56.0
ATHERENERG.NS,20.0
AUROPHARMA.NS,1.0
BAJAJHFL.NS,1.0
BDL.NS,3.0
BEL.NS,10.0
BHARATCOAL.NS,400.0
CANBK.NS,225.0
CHOLAFIN.NS,73.0
CIPLA.NS,2.0
COALINDIA.NS,12.0
DOLATALGO.NS,33.0
EIDPARRY.NS,95.0
FEDERALBANK.NS,1.0
GMRAIRPORT.NS,31.0
GPPL.NS,72.0
HCLTECH.NS,1.0
HINDALCO.NS,5.0
IDFCFIRSTB.NS,11.0
IOC.NS,42.0
IRCTC.NS,2.0
ITC.NS,36.0
JIOFIN.NS,236.0
JKTYRE.NS,18.0
KPITTECH.NS,26.0
KTKBANK.NS,70.0
LEMONTREE.NS,142.0
LINCOLN.NS,183.0
M&M.NS,1.0
MAZDOCK.NS,1.0
MCX.NS,1.0
NMDC.NS,50.0
PARAS.NS,61.0
POONAWALLA.NS,51.0
PRICOLLTD.NS,158.0
RAYMOND.NS,56.0
RVNL.NS,9.0
SAIL.NS,7.0
SBIN.NS,52.0
SCHNEIDER.NS,2.0
SPORTKING.NS,1.0
SUNPHARMA.NS,2.0
SUNTV.NS,1.0
TATAPOWER.NS,120.0
TATASTEEL.NS,55.0
TMCV.NS,73.0
WELCORP.NS,1.0
WIPRO.NS,1.0
YATHARTH.NS,1.0
ZYDUSLIFE.NS,7.0
